,index,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WTseed,LTseed
0,1849,2014,134,1107,71,1291,64,N,0,14,16
1,1850,2014,134,1301,74,1462,59,N,0,11,01
2,1851,2014,135,1142,81,1411,69,N,0,16,16
3,1852,2014,135,1397,78,1234,65,N,1,04,07
4,1853,2014,136,1163,89,1386,81,N,1,09,08
5,1854,2014,136,1173,60,1326,59,N,0,07,04
6,1855,2014,136,1196,67,1107,55,N,0,06,14
7,1856,2014,136,1217,61,1153,57,N,0,16,03
8,1857,2014,136,1257,71,1264,64,N,0,10,16
9,1858,2014,136,1276,57,1459,40,N,0,05,12
10,1859,2014,136,1277,93,1174,78,N,0,02,13
11,1860,2014,136,1295,80,1328,75,N,1,15,06
12,1861,2014,136,1332,87,1140,68,N,0,03,11
13,1862,2014,136,1338,77,1160,48,N,0,10,08
14,1863,2014,136,1361,73,1308,69,N,1,08,12
15,1864,2014,136,1387,83,1301,80,N,1,05,11
16,1865,2014,136,1393,77,1444,53,N,0,12,14
17,1866,2014,136,1400,87,1113,85,N,0,12,08
18,1867,2014,136,1437,73,1454,53,N,0,01,15
19,1868,2014,136,1458,75,1110,35,N,0,08,15
20,1869,2014,137,1112,68,1451,59,N,0,04,15
21,1870,2014,137,1124,74,1304,60,N,0,11,11
22,1871,2014,137,1166,76,1418,66,N,0,07,12
23,1872,2014,137,1211,85,1329,77,N,0,05,10
24,1873,2014,137,1235,93,1300,75,N,0,05,16
25,1874,2014,137,1242,80,1184,69,N,0,01,15
26,1875,2014,137,1246,56,1243,49,N,0,06,11
27,1876,2014,137,1272,71,1203,66,N,0,08,09
28,1877,2014,137,1273,78,1181,71,N,0,14,02
29,1878,2014,137,1314,79,1344,77,N,0,03,10
30,1879,2014,137,1372,77,1433,75,N,1,14,10
31,1880,2014,137,1390,58,1307,53,N,0,10,07
32,1881,2014,137,1397,86,1269,67,N,0,04,06
33,1882,2014,137,1417,76,1409,59,N,0,03,11
34,1883,2014,137,1438,70,1157,59,N,0,01,16
35,1884,2014,137,1455,64,1142,37,N,0,04,16
36,1885,2014,138,1163,77,1437,65,N,0,09,01
37,1886,2014,138,1173,55,1393,53,N,0,07,12
38,1887,2014,138,1196,61,1338,45,N,0,06,10
39,1888,2014,138,1257,66,1387,51,N,0,10,05
40,1889,2014,138,1276,79,1400,65,N,0,05,12
41,1890,2014,138,1277,80,1217,73,N,0,02,16
42,1891,2014,138,1361,63,1295,44,N,0,08,15
43,1892,2014,138,1458,85,1332,77,N,0,08,03
44,1893,2014,139,1112,84,1211,61,N,0,04,05
45,1894,2014,139,1124,85,1166,55,N,0,11,07
46,1895,2014,139,1235,85,1314,83,N,0,05,03
47,1896,2014,139,1246,78,1455,76,N,0,06,04
48,1897,2014,139,1390,60,1242,57,N,0,10,01
49,1898,2014,139,1397,83,1273,63,N,0,04,14
50,1899,2014,139,1417,77,1372,60,N,0,03,14
51,1900,2014,139,1438,78,1272,60,N,0,01,08
52,1901,2014,143,1112,70,1361,64,N,0,04,08
53,1902,2014,143,1173,82,1390,72,N,0,07,10
54,1903,2014,143,1196,79,1417,68,N,0,06,03
55,1904,2014,143,1458,69,1124,52,N,0,08,11
56,1905,2014,144,1163,81,1235,76,N,0,09,05
57,1906,2014,144,1246,74,1257,69,N,0,06,10
58,1907,2014,144,1276,73,1397,71,N,0,05,04
59,1908,2014,144,1277,61,1438,59,N,0,02,01
60,1909,2014,145,1196,62,1173,52,N,0,06,07
61,1910,2014,145,1458,64,1112,63,N,1,08,04
62,1911,2014,146,1163,60,1277,54,N,0,09,02
63,1912,2014,146,1246,75,1276,72,N,0,06,05
64,1913,2014,152,1163,63,1196,53,N,0,09,06
65,1914,2014,152,1246,74,1458,73,N,0,06,08
66,1915,2014,154,1163,60,1246,54,N,0,09,06
